date,open,high,low,close,volume
2015-01-02,111.390,111.440,107.350,109.330,53204600.000
2015-01-05,108.290,108.650,105.410,106.250,64285500.000
2015-01-06,106.540,107.430,104.630,106.260,65797100.000
2015-01-07,107.200,108.200,106.700,107.750,40105900.000
2015-01-08,109.230,112.150,108.700,111.890,59364500.000
2015-01-09,112.670,113.250,110.210,112.010,53699500.000
2015-01-12,112.600,112.630,108.800,109.250,49650800.000
2015-01-13,111.430,112.800,108.910,110.220,67091900.000
2015-01-14,109.040,110.490,108.500,109.800,48337000.000
2015-01-15,110.000,110.060,106.660,106.820,60014000.000
2015-01-16,107.030,107.580,105.200,105.990,78513300.000
2015-01-20,107.840,108.970,106.500,108.720,49899900.000
2015-01-21,108.950,111.060,108.270,109.550,48575900.000
2015-01-22,110.260,112.470,109.720,112.400,53796400.000
2015-01-23,112.300,113.750,111.530,112.980,46464800.000
2015-01-26,113.740,114.360,112.800,113.100,55615000.000
2015-01-27,112.420,112.480,109.030,109.140,95568700.000
2015-01-28,117.630,118.120,115.310,115.310,146477100.000
2015-01-29,116.320,119.190,115.560,118.900,84436400.000
2015-01-30,118.400,120.000,116.850,117.160,83745500.000
2015-02-02,118.050,119.170,116.080,118.630,62739100.000
2015-02-03,118.500,119.090,117.610,118.650,51915700.000
2015-02-04,118.500,120.510,118.310,119.560,70149700.000
2015-02-05,120.020,120.230,119.250,119.940,42246200.000
2015-02-06,120.020,120.250,118.450,118.930,43706600.000
2015-02-09,118.550,119.840,118.430,119.720,38889800.000
2015-02-10,120.170,122.150,120.160,122.020,62008500.000
2015-02-11,122.770,124.920,122.500,124.880,73561800.000
2015-02-12,126.060,127.480,125.570,126.460,74474500.000
2015-02-13,127.280,127.280,125.650,127.080,54272200.000
2015-02-17,127.490,128.880,126.920,127.830,63152400.000
2015-02-18,127.630,128.780,127.450,128.720,44891700.000
2015-02-19,128.480,129.030,128.330,128.450,37362400.000
2015-02-20,128.620,129.500,128.050,129.500,48948400.000
2015-02-23,130.020,133.000,129.660,133.000,70974100.000
2015-02-24,132.940,133.600,131.170,132.170,69228100.000
2015-02-25,131.560,131.600,128.150,128.790,74711700.000
2015-02-26,128.790,130.870,126.610,130.420,91287500.000
2015-02-27,130.000,130.570,128.240,128.460,62014800.000
2015-03-02,129.250,130.280,128.300,129.090,48096700.000
2015-03-03,128.960,129.520,128.090,129.360,37816300.000
2015-03-04,129.100,129.560,128.320,128.540,31666300.000
2015-03-05,128.580,128.750,125.760,126.410,56517100.000
2015-03-06,128.400,129.370,126.260,126.600,72842100.000
2015-03-09,127.960,129.570,125.060,127.140,88528500.000
2015-03-10,126.410,127.220,123.800,124.510,68856600.000
2015-03-11,124.750,124.770,122.110,122.240,68939000.000
2015-03-12,122.310,124.900,121.630,124.450,48362700.000
2015-03-13,124.400,125.400,122.580,123.590,51827300.000
2015-03-16,123.880,124.950,122.870,124.950,35874300.000
2015-03-17,125.900,127.320,125.650,127.040,51023100.000
2015-03-18,127.000,129.160,126.370,128.470,65270900.000
2015-03-19,128.750,129.250,127.400,127.500,45809500.000
2015-03-20,128.250,128.400,125.160,125.900,68695100.000
2015-03-23,127.120,127.850,126.520,127.210,37709700.000
2015-03-24,127.230,128.040,126.560,126.690,32842300.000
2015-03-25,126.540,126.820,123.380,123.380,51655200.000
2015-03-26,122.760,124.880,122.600,124.240,47572900.000
2015-03-27,124.570,124.700,122.910,123.250,39546200.000
2015-03-30,124.050,126.400,124.000,126.370,47099700.000
2015-03-31,126.090,126.490,124.360,124.430,42090600.000
